id,Country (or dependency),Population 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share
19,Germany,84075075,−0.56%,"−477,167",241,348560,"−334,072",1.46,45.5,76.5%,1.02%
20,Thailand,71619863,−0.07%,"−48,148",140,510890,27509,1.2,40.6,53.5%,0.87%
21,Tanzania,70545865,2.9%,1985708,80,885800,"−12,730",4.47,17.5,40%,0.86%
22,United Kingdom,69551332,0.6%,413140,287,241930,389911,1.54,40.1,84.5%,0.84%
23,France,66650804,0.15%,102274,122,547557,91737,1.64,42.3,82.5%,0.81%
24,South Africa,64747319,1.16%,740132,53,1213090,146370,2.19,28.7,66.6%,0.79%
25,Italy,59146260,−0.33%,"−196,607",201,294140,75448,1.21,48.2,72%,0.72%
26,Kenya,57532493,1.95%,1099549,101,569140,"−27,330",3.12,20.0,31.9%,0.70%
27,Myanmar,54850648,0.64%,350557,84,653290,"−39,661",2.08,30.1,34.1%,0.67%
28,Colombia,53425635,1.02%,539272,48,1109500,129139,1.62,32.5,80.5%,0.65%
29,South Korea,51667029,−0.1%,"−50,561",531,97230,65731,0.75,45.6,82.4%,0.63%
30,Sudan,51662147,2.4%,1213184,29,1765048,291469,4.19,18.5,35.3%,0.63%
31,Uganda,51384894,2.74%,1369802,257,199810,"−119,059",4.06,16.9,30%,0.62%
32,Spain,47889958,−0.04%,"−20,568",96,498800,96630,1.23,45.9,79.3%,0.58%
33,Algeria,47435312,1.33%,621004,20,2381740,"−27,531",2.67,28.6,74.4%,0.58%
34,Iraq,47020774,2.13%,978759,108,434320,"−1,064",3.17,20.8,72.4%,0.57%
35,Argentina,45851378,0.34%,155219,17,2736690,2859,1.5,32.9,96%,0.56%
36,Afghanistan,43844111,2.81%,1196619,67,652860,"−74,404",4.66,17.3,26.7%,0.53%
37,Yemen,41773878,2.93%,1190714,79,527970,"−16,291",4.41,18.4,33%,0.51%
38,Canada,40126723,0.97%,384293,4,9093510,326204,1.33,40.6,80.2%,0.49%
39,Angola,39040039,3.05%,1154190,31,1246700,"−3,524",4.95,16.6,68.8%,0.47%
40,Ukraine,38980376,2.96%,1120155,67,579320,1702358,1.0,41.8,76.8%,0.47%
41,Morocco,38430770,0.92%,349597,86,446300,"−56,254",2.18,29.8,67.3%,0.47%
42,Poland,38140910,−1.03%,"−398,291",125,306230,"−330,820",1.31,42.5,59.2%,0.46%
43,Uzbekistan,37053428,1.9%,691569,87,425400,"−6,987",3.45,27.0,48.1%,0.45%
44,Malaysia,35977838,1.18%,420165,110,328550,166615,1.53,31.0,77.4%,0.44%
45,Mozambique,35631653,2.89%,999887,45,786380,"−65,573",4.62,16.5,41.6%,0.43%
46,Ghana,35064272,1.85%,636858,154,227540,"−17,079",3.3,21.3,58.6%,0.43%
47,Peru,34576665,1.05%,358817,27,1280000,11931,1.94,30.2,80.6%,0.42%
48,Saudi Arabia,34566328,1.78%,603571,16,2149690,119738,2.29,29.6,92.1%,0.42%
49,Madagascar,32740678,2.43%,775722,56,581795,"−2,227",3.85,19.2,40.3%,0.40%
50,Côte d'Ivoire,32711547,2.43%,777317,103,318000,11305,4.17,18.3,49%,0.40%
51,Cameroon,29879337,2.59%,755593,63,472710,"−15,379",4.18,18.0,59.4%,0.36%
52,Nepal,29618118,−0.11%,"−32,936",207,143350,"−364,699",1.94,25.3,24.5%,0.36%
53,Venezuela,28516896,0.39%,111353,32,882050,"−100,467",2.06,29.4,,0.35%
54,Niger,27917831,3.28%,885419,22,1266700,"−7,704",5.79,15.6,18.2%,0.34%
55,Australia,26974026,0.98%,260821,4,7682300,137109,1.64,38.3,86.5%,0.33%
56,North Korea,26571036,0.27%,72213,221,120410,"−2,787",1.77,36.5,63.3%,0.32%
57,Syria,25620427,3.84%,947667,140,183630,421693,2.66,23.3,53.6%,0.31%
58,Mali,25198821,2.94%,720226,21,1220190,"−48,019",5.42,15.7,44.4%,0.31%
59,Burkina Faso,24074580,2.23%,525799,88,273600,"−27,130",4.0,17.7,33.7%,0.29%
60,Sri Lanka,23229470,0.54%,125905,370,62710,"−30,724",1.94,33.3,18.1%,0.28%
61,Taiwan,23112793,−0.44%,"−101,169",653,35410,"−20,947",0.86,44.8,84%,0.28%
62,Malawi,22216120,2.59%,560834,236,94280,"−5,628",3.53,18.1,19.8%,0.27%
63,Zambia,21913874,2.81%,598918,29,743390,6562,3.97,17.9,46.8%,0.27%
64,Chad,21003705,3.47%,704582,17,1259200,"−123,104",5.94,15.8,22.4%,0.26%
65,Kazakhstan,20843754,1.22%,251183,8,2699700,"−8,834",2.95,29.7,55.1%,0.25%
66,Chile,19859921,0.48%,95150,27,743532,51712,1.13,36.9,84.8%,0.24%
67,Somalia,19654739,3.4%,645588,31,627340,12077,5.91,15.6,46.6%,0.24%
68,Senegal,18931966,2.32%,429982,98,192530,"−12,636",3.71,19.6,52.3%,0.23%
69,Romania,18908650,−0.56%,"−106,438",82,230170,"−29,041",1.71,43.2,55.2%,0.23%
70,Guatemala,18687881,1.53%,281522,174,107160,"−7,959",2.26,23.4,56.6%,0.23%
71,Netherlands,18346819,0.65%,118077,544,33720,104681,1.44,41.5,88.9%,0.22%
72,Ecuador,18289896,0.85%,154418,74,248360,"−17,219",1.79,29.3,66%,0.22%
73,Cambodia,17847982,1.19%,209181,101,176520,"−31,469",2.51,26.2,26.5%,0.22%
74,Zimbabwe,16950795,1.9%,316422,44,386850,"−54,555",3.62,18.1,37.9%,0.21%
75,Guinea,15099727,2.34%,344942,61,245720,"−16,282",4.04,18.3,40.3%,0.18%
76,Benin,14814460,2.43%,351736,131,112760,"−7,847",4.42,18.0,47.8%,0.18%
77,Rwanda,14569341,2.19%,312774,591,24670,6282,3.59,19.9,18.3%,0.18%
78,Burundi,14390003,2.44%,342217,560,25680,"−34,727",4.67,16.4,14.9%,0.17%
79,Bolivia,12581843,1.36%,168528,12,1083300,"−3,179",2.5,25.2,70.6%,0.15%
80,Tunisia,12348573,0.58%,71464,79,155360,"−14,523",1.8,32.9,71.7%,0.15%
81,South Sudan,12188788,2.05%,245380,20,610952,6145,3.71,18.7,27.7%,0.15%
82,Haiti,11906095,1.13%,133538,432,27560,"−32,052",2.59,24.1,61.7%,0.14%
83,Belgium,11758603,0.17%,19840,388,30280,31989,1.39,41.9,98.8%,0.14%
84,Jordan,11520684,−0.28%,"−32,192",130,88780,"−303,267",2.57,24.7,85.1%,0.14%
85,Dominican Republic,11520487,0.81%,92930,238,48320,"−35,306",2.19,28.3,86.4%,0.14%
86,United Arab Emirates,11346000,2.89%,318871,136,83600,158634,1.21,31.6,81.1%,0.14%
87,Honduras,11005850,1.66%,180147,98,111890,"−4,778",2.45,24.2,58.3%,0.13%
88,Cuba,10937203,−0.39%,"−42,580",103,106440,"−22,244",1.45,42.2,81.9%,0.13%
89,Tajikistan,10786734,1.85%,195807,77,139960,"−21,606",2.99,22.2,27.7%,0.13%
90,Papua New Guinea,10762817,1.76%,186315,24,452860,−284,3.03,22.8,12.6%,0.13%
91,Sweden,10656633,0.47%,49634,26,410340,47079,1.44,40.3,87.4%,0.13%
92,Czech Republic (Czechia),10609239,−1.18%,"−126,620",137,77240,"−112,188",1.47,43.8,75%,0.13%
93,Portugal,10411834,−0.13%,"−13,458",114,91590,16472,1.52,46.9,66.5%,0.13%
94,Azerbaijan,10397713,0.59%,61136,126,82658,8731,1.67,33.6,58.7%,0.13%
95,Greece,9938844,−1.08%,"−108,973",77,128900,16636,1.34,46.8,89.5%,0.12%
96,Togo,9721608,2.17%,206372,179,54390,"−15,010",4.07,19.1,44.2%,0.12%
97,Hungary,9632287,−0.45%,"−43,848",106,90530,"−16,331",1.5,43.9,72%,0.12%
98,Israel,9517181,1.39%,130160,440,21640,11466,2.75,29.2,91.4%,0.12%
99,Austria,9113574,−0.08%,"−7,239",111,82409,11254,1.33,43.6,58.6%,0.11%
100,Belarus,8997603,−0.65%,"−59,093",44,202910,"−3,020",1.23,41.3,84.4%,0.11%
101,Switzerland,8967407,0.51%,45426,227,39516,37253,1.44,42.9,74.4%,0.11%
102,Sierra Leone,8819794,2.06%,177772,122,72180,"−11,309",3.61,19.7,45.5%,0.11%
103,Laos,7873046,1.33%,103227,34,230800,"−10,645",2.36,24.9,38.3%,0.096%
104,Turkmenistan,7618847,1.66%,124349,16,469930,13268,2.63,26.9,46.5%,0.093%
105,Libya,7458555,1.05%,77532,4,1759540,−172,2.25,27.7,77.5%,0.091%
106,Hong Kong,7396076,−0.25%,"−18,833",7044,1050,17863,0.73,47.4,,0.090%
107,Kyrgyzstan,7295034,1.52%,109025,38,191800,1815,2.75,25.4,35.3%,0.089%
108,Paraguay,7013078,1.21%,83925,18,397300,"−12,423",2.4,27.0,68%,0.085%
109,Nicaragua,7007502,1.32%,91362,58,120340,"−8,371",2.18,26.0,58.1%,0.085%
110,Bulgaria,6714560,−0.64%,"−43,129",62,108560,"−2,961",1.74,44.8,77.1%,0.082%
111,Serbia,6689039,−0.7%,"−47,177",76,87460,"−13,086",1.5,44.4,73.6%,0.081%
112,Congo,6484437,2.39%,151476,19,341500,"−2,999",4.05,18.6,69.8%,0.079%
113,El Salvador,6365503,0.43%,27310,307,20720,"−23,934",1.75,27.9,79.9%,0.077%
114,Denmark,6002507,0.42%,25095,141,42430,22103,1.52,41.3,87.4%,0.073%
115,Singapore,5870750,0.66%,38363,8387,700,16892,0.96,36.2,,0.071%
116,Lebanon,5849421,0.75%,43459,572,10230,"−10,230",2.21,28.8,86%,0.071%
117,Liberia,5731206,2.11%,118389,60,96320,"−9,870",3.79,18.8,55%,0.070%
118,Finland,5623329,0.11%,6019,19,303890,18246,1.3,43.2,86.7%,0.068%
119,Norway,5623071,0.83%,46411,15,365268,29798,1.42,39.8,85.9%,0.068%
120,State of Palestine,5589623,1.71%,94180,929,6020,"−23,156",3.19,20.1,84.2%,0.068%
121,Central African Republic,5513282,3.43%,182592,9,622980,"−14,693",5.81,14.5,44.5%,0.067%
122,Oman,5494691,4.04%,213153,18,309500,113734,2.48,29.7,90.8%,0.067%
123,Slovakia,5474881,−0.58%,"−31,879",114,48088,"−31,377",1.57,42.3,54%,0.067%
124,Mauritania,5315065,2.82%,145670,5,1030700,"−5,044",4.56,17.4,60.3%,0.065%
125,Ireland,5308039,1.01%,53022,77,68890,35417,1.6,39.0,62.1%,0.064%
126,New Zealand,5251899,0.73%,37955,20,263310,17403,1.65,37.7,83.6%,0.064%
127,Costa Rica,5152950,0.45%,23040,101,51060,1000,1.31,35.2,85.2%,0.063%
128,Kuwait,5026078,1.86%,91571,282,17820,42775,1.5,34.8,91.6%,0.061%
129,Panama,4571189,1.23%,55612,61,74340,6151,2.09,30.3,70.7%,0.056%
130,Croatia,3848160,−0.7%,"−27,165",69,55960,"−3,481",1.47,45.3,61.7%,0.047%
131,Georgia,3806671,−0.03%,−999,55,69490,1283,1.79,37.3,62%,0.046%
132,Eritrea,3607003,2.02%,71400,36,101000,"−6,698",3.61,19.2,74.8%,0.044%
133,Mongolia,3517100,1.2%,41560,2,1553560,79,2.58,26.9,67.2%,0.043%
134,Uruguay,3384688,−0.06%,"−1,900",19,175020,"−1,338",1.39,36.4,,0.041%
135,Puerto Rico,3235289,−0.21%,"−6,915",365,8870,5495,0.94,45.8,,0.039%
136,Bosnia and Herzegovina,3140095,−0.76%,"−24,158",62,51000,"−6,994",1.5,45.7,56.3%,0.038%
137,Qatar,3115889,2.21%,67466,268,11610,36288,1.7,33.5,96.6%,0.038%
138,Namibia,3092816,2.07%,62685,4,823290,1866,3.17,21.3,54.4%,0.038%
139,Moldova,2996106,−1.28%,"−38,855",91,32850,"−29,766",1.72,38.6,57.7%,0.036%
140,Armenia,2952365,−0.72%,"−21,475",104,28470,"−29,013",1.71,36.6,63.8%,0.036%
141,Jamaica,2837077,−0.07%,"−2,098",262,10830,"−11,053",1.34,32.8,60.2%,0.034%
142,Lithuania,2830144,−1.01%,"−28,966",45,62674,"−24,618",1.22,42.3,68.2%,0.034%
143,Gambia,2822093,2.25%,62105,279,10120,"−2,984",3.8,18.6,61.3%,0.034%
144,Albania,2771508,−0.73%,"−20,257",101,27400,"−24,230",1.33,37.3,70.3%,0.034%
145,Gabon,2593130,2.13%,54178,10,257670,1116,3.54,21.5,83.7%,0.032%
146,Botswana,2562122,1.63%,40983,5,566730,"−5,665",2.66,23.4,75.6%,0.031%
147,Lesotho,2363325,1.11%,25902,78,30360,"−5,192",2.64,21.8,32.8%,0.029%
148,Guinea-Bissau,2249515,2.19%,48163,80,28120,"−1,373",3.68,19.4,46.2%,0.027%
149,Slovenia,2117072,−0.08%,"−1,625",105,20140,2711,1.58,44.6,55.7%,0.026%
150,Equatorial Guinea,1938431,2.43%,45915,69,28050,3812,4.04,20.9,63.6%,0.024%
151,Latvia,1853559,−0.98%,"−18,312",30,62200,"−7,330",1.35,43.6,67.5%,0.023%
152,North Macedonia,1813791,−0.51%,"−9,218",72,25220,"−5,645",1.47,41.0,69.4%,0.022%
153,Bahrain,1643332,2.26%,36283,2162,760,18128,1.78,33.4,,0.020%
154,Trinidad and Tobago,1511155,0.22%,3373,295,5130,691,1.52,37.7,49.1%,0.018%
155,Timor-Leste,1418517,1.28%,17879,95,14870,"−2,550",2.56,21.7,36%,0.017%
156,Cyprus,1370754,0.92%,12472,148,9240,7749,1.37,38.6,61.1%,0.017%
157,Estonia,1344232,−1.2%,"−16,314",32,42390,"−13,350",1.38,42.8,66.9%,0.016%
158,Mauritius,1268280,−0.23%,"−2,889",625,2030,"−2,784",1.21,37.8,41.5%,0.015%
159,Eswatini,1256174,1.07%,13352,73,17200,"−5,775",2.68,22.5,31.3%,0.015%
160,Djibouti,1184076,1.31%,15354,51,23180,−581,2.58,24.9,71.3%,0.014%
161,Fiji,933154,0.47%,4370,51,18270,"−3,288",2.25,28.1,60.8%,0.011%
162,Comoros,882847,1.87%,16219,474,1861,"−2,127",3.76,20.6,33.6%,0.011%
163,Réunion,882405,0.43%,3814,353,2500,"−2,585",2.13,38.1,,0.011%
164,Solomon Islands,838645,2.37%,19447,30,27990,1631,3.46,20.7,22.8%,0.010%
165,Guyana,835986,0.59%,4899,4,196850,"−5,092",2.37,26.2,26.6%,0.010%
166,Bhutan,796682,0.65%,5158,21,38117,455,1.44,30.5,50.3%,0.0097%
167,Macao,722007,0.24%,1745,24067,30,−328,0.69,39.6,97.1%,0.0088%
168,Luxembourg,680453,1.1%,7417,263,2590,5237,1.4,39.5,87.2%,0.0083%
169,Suriname,639850,0.85%,5419,4,156000,−967,2.21,28.6,62.4%,0.0078%
170,Montenegro,632729,−0.9%,"−5,750",47,13450,"−9,279",1.79,40.0,68.7%,0.0077%
171,Western Sahara,600904,1.76%,10398,2,266000,5030,2.15,32.6,97%,0.0073%
172,Malta,545405,1.07%,5798,1704,320,5161,1.11,41.1,76.5%,0.0066%
173,Maldives,529676,0.36%,1877,1766,300,"−2,283",1.55,32.7,39.6%,0.0064%
174,Cabo Verde,527326,0.47%,2449,131,4030,"−1,284",1.5,29.0,78.6%,0.0064%
175,Brunei,466330,0.78%,3609,88,5270,0,1.71,32.7,80.1%,0.0057%
176,Belize,422924,1.4%,5852,19,22810,360,2.01,26.9,48.6%,0.0051%
177,Bahamas,403033,0.44%,1750,40,10010,935,1.36,35.3,88.4%,0.0049%
178,Iceland,398266,1.24%,4870,4,100250,2709,1.5,36.2,84%,0.0048%
179,Guadeloupe,373791,−0.35%,"−1,315",221,1690,"−1,587",2.05,47.2,,0.0045%
180,Martinique,340439,−0.8%,"−2,756",321,1060,"−2,491",1.97,49.7,,0.0041%
181,Mayotte,337011,3.22%,10506,899,375,44,4.5,17.1,41.4%,0.0041%
182,Vanuatu,335169,2.26%,7392,27,12190,−52,3.53,20.3,25.4%,0.0041%
183,French Guiana,313666,1.67%,5144,4,82200,−909,3.29,25.0,94.5%,0.0038%
184,New Caledonia,295333,0.92%,2694,16,18280,440,1.95,34.5,75.7%,0.0036%
185,Barbados,282623,0.06%,156,657,430,−87,1.71,39.4,32.5%,0.0034%
186,French Polynesia,282465,0.23%,658,77,3660,"−1,199",1.48,36.1,65.9%,0.0034%
187,Sao Tome & Principe,240254,2%,4718,250,960,−650,3.53,19.5,78.2%,0.0029%
188,Samoa,219306,0.59%,1287,77,2830,"−2,815",3.75,19.8,16.3%,0.0027%
189,Curaçao,185487,0%,5,418,444,470,1.07,38.7,80.8%,0.0023%
190,Saint Lucia,180149,0.23%,405,295,610,−23,1.38,34.6,19.9%,0.0022%
191,Guam,168999,0.73%,1222,313,540,−493,2.71,31.5,98.8%,0.0021%
192,Kiribati,136488,1.46%,1970,169,810,−462,3.09,22.9,57.3%,0.0017%
193,Seychelles,132779,1.81%,2361,289,460,1590,2.08,34.3,43.8%,0.0016%
194,Grenada,117303,0.08%,96,345,340,−185,1.46,34.4,35.5%,0.0014%
195,Micronesia,113683,0.46%,523,162,700,"−1,125",2.71,23.3,23.5%,0.0014%
196,Aruba,108147,0.07%,81,601,180,111,1.6,41.5,44.7%,0.0013%
197,Tonga,103742,−0.42%,−433,144,720,"−2,150",3.07,20.8,26%,0.0013%
198,St. Vincent & Grenadines,99924,−0.69%,−692,256,390,−714,1.75,34.4,61.6%,0.0012%
199,Antigua and Barbuda,94209,0.47%,437,214,440,12,1.58,36.3,28.5%,0.0011%
200,U.S. Virgin Islands,84138,−0.9%,−767,240,350,−357,2.07,44.8,,0.0010%
201,Isle of Man,84118,−0.05%,−42,148,570,166,1.53,46.1,56.7%,0.0010%
202,Andorra,82904,1.18%,966,176,470,843,1.1,43.9,82.3%,0.0010%
203,Cayman Islands,75844,1.86%,1387,316,240,888,1.51,38.7,89.1%,0.00092%
204,Dominica,65871,−0.5%,−334,88,750,−242,1.47,36.3,84.5%,0.00080%
205,Bermuda,64555,−0.13%,−81,1291,50,−2,1.41,46.0,93%,0.00078%
206,Faeroe Islands,56002,1.09%,602,40,1396,386,2.2,37.1,39.5%,0.00068%
207,Greenland,55745,−0.17%,−95,0,410450,−265,1.91,35.1,90.7%,0.00068%
208,Saint Kitts & Nevis,46922,0.17%,79,180,260,18,1.51,36.2,39.4%,0.00057%
209,Turks and Caicos,46855,0.69%,320,49,950,177,1.44,39.2,79.4%,0.00057%
210,American Samoa,46029,−1.57%,−736,230,200,"−1,051",2.25,29.0,,0.00056%
211,Sint Maarten,43923,1.32%,573,1292,34,530,1.43,41.8,99.8%,0.00053%
212,Northern Mariana Islands,43541,−1.66%,−737,95,460,−963,2.28,38.0,,0.00053%
213,Liechtenstein,40128,0.65%,258,251,160,194,1.54,44.5,14.7%,0.00049%
214,Gibraltar,40126,2.03%,797,4013,10,549,1.88,38.8,88.5%,0.00049%
215,British Virgin Islands,39732,0.66%,261,265,150,153,1.06,38.6,43.4%,0.00048%
216,Monaco,38341,−0.75%,−290,25732,1,100,2.09,53.6,,0.00047%
217,Marshall Islands,36282,−3.37%,"−1,266",202,180,"−1,698",2.82,20.4,,0.00044%
218,San Marino,33572,−0.03%,−9,560,60,122,1.16,48.6,,0.00041%
219,Caribbean Netherlands,31338,2.16%,663,96,328,600,1.45,39.6,65.6%,0.00038%
220,Palau,17663,−0.18%,−32,38,460,−16,1.86,38.5,,0.00021%
221,Anguilla,14728,0.89%,130,164,90,70,1.35,38.7,,0.00018%
222,Cook Islands,13263,−3.39%,−466,55,240,−460,2.0,37.1,,0.00016%
223,Nauru,12025,0.65%,78,601,20,−122,3.25,20.2,94.2%,0.00015%
224,Saint Barthelemy,11414,1.39%,156,544,21,158,0.83,39.0,,0.00014%
225,Wallis & Futuna,11194,−0.74%,−83,80,140,−83,1.4,38.2,,0.00014%
226,Tuvalu,9492,−1.6%,−154,316,30,−255,3.14,24.2,86%,0.00012%
227,Saint Pierre & Miquelon,5574,−0.96%,−54,24,230,−8,1.28,47.2,,0.000068%
228,Saint Helena,5197,−0.76%,−40,13,390,1,1.64,50.9,33.4%,0.000063%
229,Montserrat,4359,−0.68%,−30,44,100,−9,1.45,41.6,11.5%,0.000053%
230,Falkland Islands,3469,−0.03%,−1,0,12170,−17,1.7,42.8,68%,0.000042%
231,Tokelau,2608,4.07%,102,261,10,53,2.57,27.3,,0.000032%
232,Niue,1821,0.11%,2,7,260,3,2.46,35.7,44.5%,0.000022%
233,Holy See,501,1.01%,5,1253,0,13,1.0,57.4,,0.0000061%
